Código Ámbito,Ámbito,Código área,Área,Código Elemento,Elemento,Código Producto,Producto,Código año,Año,Código Meses,Meses,Unidad,valor,Símbolo,Descripción del Símbolo
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","2019","2019","7021","Valor anual","","92.11","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","2020","2020","7021","Valor anual","","89.57","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1738","Frutas Primaria","2021","2021","7021","Valor anual","","87.34","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","1991","1991","7021","Valor anual","","25.64","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","1992","1992","7021","Valor anual","","25.83","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","1993","1993","7021","Valor anual","","26.18","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","1994","1994","7021","Valor anual","","33.29","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","1995","1995","7021","Valor anual","","40.6","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","1996","1996","7021","Valor anual","","51.47","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","1997","1997","7021","Valor anual","","58.41","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","1998","1998","7021","Valor anual","","58.46","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","1999","1999","7021","Valor anual","","61.8","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","2000","2000","7021","Valor anual","","64.83","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","2001","2001","7021","Valor anual","","67.19","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","2002","2002","7021","Valor anual","","69.94","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","2003","2003","7021","Valor anual","","70.62","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","2004","2004","7021","Valor anual","","75.23","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","2005","2005","7021","Valor anual","","77.32","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","2006","2006","7021","Valor anual","","83.2","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","2007","2007","7021","Valor anual","","86.4","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","2008","2008","7021","Valor anual","","84.87","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","2009","2009","7021","Valor anual","","81.58","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","2010","2010","7021","Valor anual","","93.2","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","2011","2011","7021","Valor anual","","120.05","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","2012","2012","7021","Valor anual","","108.26","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","2013","2013","7021","Valor anual","","93.9","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","2014","2014","7021","Valor anual","","100.32","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","2015","2015","7021","Valor anual","","101.13","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","2016","2016","7021","Valor anual","","98.56","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","2017","2017","7021","Valor anual","","100.89","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","2018","2018","7021","Valor anual","","93.52","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","2019","2019","7021","Valor anual","","91.16","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","2020","2020","7021","Valor anual","","88.63","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","2044","Ganado","2021","2021","7021","Valor anual","","86.15","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1735","Hortaliz Prim Exc Melon","1991","1991","7021","Valor anual","","6.12","I","Valor imputado"
"PP","Precios al Productor","95","Honduras","5539","Índice de precios al productor (2014-2016 = 100)","1735","Hortaliz Prim Exc Melon","1992","1992","7021","Valor anual","","8.65","I","Valor imputado"
